127.0.0.1 - - [27/Sep/2019:16:57:32 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:40 +0800] "GET /HelloApp2/html/ch02_7_main.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:40 +0800] "GET /HelloApp2/html/ch02_7_left.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:40 +0800] "GET /HelloApp2/html/ch02_7_top.html HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:40 +0800] "GET /HelloApp2/html/ch02_7_right.html HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:40 +0800] "GET /HelloApp2/image/bj.jpg HTTP/1.1" 200 52512
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:40 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:44 +0800] "GET /HelloApp2/html/ch02_7_photo.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:44 +0800] "GET /HelloApp2/image/xy.gif HTTP/1.1" 200 37796
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:45 +0800] "GET /HelloApp2/html/ch02_7_video.html HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:45 +0800] "GET /HelloApp2/avi/ch02_7_1.mp4 HTTP/1.1" 206 19193193
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:45 +0800] "GET /HelloApp2/avi/ch02_7_1.mp4 HTTP/1.1" 206 187753
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:45 +0800] "GET /HelloApp2/avi/ch02_7_1.mp4 HTTP/1.1" 206 18415616
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:49 +0800] "GET /HelloApp2/avi/ch02_7_1.mp4 HTTP/1.1" 206 18219008
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:51 +0800] "GET /HelloApp2/html/ch02_7_sound.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:51 +0800] "GET /HelloApp2/image/%E5%AD%A6%E7%8C%AB%E5%8F%AB.jpg HTTP/1.1" 200 307619
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:51 +0800] "GET /HelloApp2/mp3/%E5%AD%A6%E7%8C%AB%E5%8F%AB.mp3 HTTP/1.1" 206 3353330
0:0:0:0:0:0:0:1 - - [27/Sep/2019:16:58:55 +0800] "GET /HelloApp2/mp3/%E5%AD%A6%E7%8C%AB%E5%8F%AB.mp3 HTTP/1.1" 206 2763506
