127.0.0.1 - - [22/Oct/2019:02:11:15 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/html/forms.html HTTP/1.1" 200 7923
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140984
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/css/orionicons.css HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/css/custom.css HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/css/style.default.css HTTP/1.1" 200 98149
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/vendor/popper.js/umd/popper.min.js HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/vendor/jquery.cookie/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/vendor/chart.js/Chart.min.js HTTP/1.1" 200 159638
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/js/js.cookie.min.js HTTP/1.1" 200 2022
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/js/front.js HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:18 +0800] "GET /hw1021_1/img/avatar-6.jpg HTTP/1.1" 200 8773
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:37 +0800] "GET /hw1021_1/html/forms.html HTTP/1.1" 200 7923
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:38 +0800] "GET /hw1021_1/css/orionicons.css HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:38 +0800] "GET /hw1021_1/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140984
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:38 +0800] "GET /hw1021_1/css/custom.css HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:38 +0800] "GET /hw1021_1/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:38 +0800] "GET /hw1021_1/vendor/popper.js/umd/popper.min.js HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:38 +0800] "GET /hw1021_1/img/avatar-6.jpg HTTP/1.1" 200 8773
0:0:0:0:0:0:0:1 - - [22/Oct/2019:02:11:38 +0800] "GET /hw1021_1/css/style.default.css HTTP/1.1" 200 98149
